field1,job_id,skill,type
0,553,r,R
1,554,r,R
2,556,ceph,mixed
3,557,qa,qa
4,563,engineer,mixed
5,563,backend,backend
6,566,etl,bigdata
7,567,opennebula,mixed
8,567,continuous-deployment,Continuous Deployment
9,568,etl,bigdata
10,570,c++,C/C++
11,572,zeromq,mixed
12,573,amazon-lambda,aws
13,573,amazon-kinesis,aws
14,574,dijkstra,mixed
15,575,c#,c#
16,575,.net,.net
17,575,data-science,bigdata
18,576,websphere,mixed
19,578,microservices,microservices
20,579,user-experience,UX/UI
21,580,mondrian,open source OLAP
22,583,routing,mixed
23,583,mesos,mixed
24,584,c++,C/C++
25,585,c++14,C/C++
26,585,tensorflow,Machine Learning
27,585,pandas,Python-based
28,586,amazon-ecs,aws
29,587,columnstore,mixed
30,587,tableau-server,Data viz tools
31,588,c++,C/C++
32,589,xhtml,mixed
33,590,tableau,Data viz tools
34,590,pentaho,mixed
35,590,qlikview,Data viz tools
36,591,solr,Apache Frameworks
37,591,full-text-search,mixed
38,592,high-traffic,mixed
39,594,c++,C/C++
40,594,algorithm,algorithm
41,594,performance,mixed
42,595,c++,C/C++
43,595,algorithm,algorithm
44,595,performance,mixed
45,596,bigdata,bigdata
46,598,microservices,microservices
47,603,piwik,mixed
48,603,microstrategy,mixed
49,604,content-management-system,mixed
50,604,qa,qa
51,604,user-experience,UX/UI
52,606,c#,c#
53,607,combinatorics,mixed
54,607,algorithm,algorithm
55,610,deis,mixed
56,612,terraform,Terraform
57,613,c++14,C/C++
58,613,c++,C/C++
59,614,mvvm,mixed
60,616,infrastructure,mixed
61,618,graphql,mixed
62,618,ecmascript-6,JavaScript Tools
63,619,c++,C/C++
64,621,c#,c#
65,622,event-sourcing,mixed
66,622,cqrs,mixed
67,623,c++,C/C++
68,623,qt,mixed
69,623,qml,mixed
70,623,embedded,mixed
71,625,web,mixed
72,625,c++,C/C++
73,626,microservices,microservices
74,627,oop,mixed
75,629,business-intelligence,bigdata
76,629,bigdata,bigdata
77,629,interface,mixed
78,630,mockups,mixed
79,631,.net,.net
80,631,c#,c#
81,634,relayjs,mixed
82,634,graphql,mixed
83,635,c#,c#
84,635,.net,.net
85,636,web,mixed
86,636,cc++,mixed
87,642,continuous-delivery,Continuous Delivery
88,643,c#,c#
89,643,asp.net,mixed
