skill,type
r,R
ceph,bigdata
qa,qa
engineer,mixed
backend,backend
etl,bigdata
opennebula,Cloud
continuous-deployment,Continuous Deployment
c++,C/C++
zeromq,zeromq
amazon-lambda,aws
amazon-kinesis,aws
dijkstra,algorithm
c#,c#
.net,.net
data-science,bigdata
websphere,Containerization Platforms
microservices,microservices
user-experience,UX/UI
mondrian,open source OLAP
routing,mixed
mesos,Apache Frameworks
c++14,C/C++
tensorflow,Machine Learning
pandas,Python-based
amazon-ecs,amazon-ecs
columnstore,bigdata
tableau-server,tableau-server
xhtml,HTML
tableau,tableau-server
pentaho,Data viz tools
qlikview,Data viz tools
solr,Apache Frameworks
full-text-search,mixed
high-traffic,mixed
algorithm,algorithm
performance,mixed
bigdata,bigdata
piwik,Data viz tools
microstrategy,mixed
content-management-system,mixed
combinatorics,mixed
deis,mixed
terraform,Terraform
mvvm,software architectural pattern
infrastructure,mixed
graphql,query language for APIs
ecmascript-6,JavaScript Tools
event-sourcing,mixed
cqrs,software architectural pattern
qt,api(s)
qml,mixed
embedded,mixed
web,mixed
oop,programming paradigm
business-intelligence,bigdata
interface,UX/UI
mockups,testing
relayjs,JavaScript Tools
cc++,C/C++
continuous-delivery,Continuous Delivery
asp.net,api(s)
tsql,SQL
single-page-application,mixed
stylus,mixed
twig,PHP Frameworks
wordpress,cqrs
mocha,mocha
gruntjs,api(s)
browserify,UIML
hibernate,Hibernate
sketchapp,design
babel,JavaScript Tools
data-warehouse,bigdata
database,Programming paradigm
plsql,SQL
oracle,open source OLAP
netsuite,Cloud
lavarel,PHP Frameworks
solid-principles,mixed
user-interface,UX/UI
graphite,JavaScript Tools
mobile,mobile
payment-gateway,mixed
payment,mixed
payment-processing,mixed
virtuozzo,virtualization technology
openvz,virtualization technology
frontend,Frontend
gis,bigdata
haproxy,Load Balancers
scripting,mixed
foundation,mixed
github,Repository management services
vmware,Cloud
coffeescript,JavaScript Tools
tomcat,Apache Frameworks
mariadb,SQL
bitcoin,blockchain
jms,api(s)
cloudfoundry,Cloud
networking,mixed
distributed-system,bigdata
cucumber,testing
PHP Frameworks,PHP Frameworks
codeception,api(s)
web-services,mixed
search,mixed
lucene,Apache Frameworks
express,Node.js
salesforce,Cloud
end-to-end-delivery,mixed
project-management,mixed
backlog,mixed
kotlin,Kotlin
qunit,JavaScript Tools
vba,Microsoft Tools
access,Microsoft Tools
apex,mixed
sinatra,Ruby
software,mixed
proxy,mixed
crm,mixed
visualforce,UX/UI
pgtap,SQL
liquibase,bigdata
realm,bigdata
3d,mixed
vr,Virtual reality
augmented-reality,Virtual reality
jvm,JVM
akka,mixed
junit,Java Frameworks
jarkata,Apache Frameworks
mocking,testing
rubygems,Ruby
dry,mixed
deployment,mixed
multithreading,mixed
matlab,bigdata
hbase,bigdata
groovy,Groovy
grails,Grails
mockito,Java Frameworks
statistics,algorithm
fraud-prevention,mixed
gwt,Google Packages
vaadin,Java Frameworks
zend-framework,PHP Frameworks
security,mixed
infosec,mixed
mri,mixed
ror,Ruby
rails,Ruby
c,C/C++
assembly,mixed
debugging,mixed
hardware-programming,mixed
iaas,mixed
salt,blockchain
cisco,Cloud
vpn,mixed
angular2,Angular.js
lean,mixed
openstreetmap,api(s)
nagios,mixed
enterprise-architect,mixed
architecture,mixed
mapreduce,bigdata
haskell,haskell
erlang,Erlang
clojure,clojure
cyber,mixed
reverse-engineering,mixed
iphone,mobile
windows,mixed
watchguard,mixed
ocs,mixed
encryption,mixed
ide,mixed
jpa,mixed
native,mixed
backup,mixed
soap,mixed
testlink,mixed
appium,mobile
testng,testing
sdk,mixed
informix,mixed
cloudwatch,Cloud
atlassian,Atlassian
confluence,mixed
plugins,mixed
add-on,mixed
development,mixed
programmin,mixed
calabash,iOS
openstack,Cloud
xcode,iOS
core-bluetooth,mixed
ibeacon,mixed
c++11,C/C++
data-structures,mixed
linear-programming,mixed
RxJS,JavaScript Tools
GCP,Google Cloud Platform
CouchDB,NoSQL
Memcached,Memcached
Varnish,mixed
modern JVM,mixed
MLlib,Apache Frameworks
Presto,SQL
Impala,Apache Frameworks
SQS,AWS
CAD,design
ECMAScript 6,JavaScript Tools
Babel,JS Compiler
Confluence,Atlassian
F2P,mixed
AJAX,AJAX
BigQuery,Google Cloud Platform
Airflow,Apache Frameworks
Datadog,Cloud
Play,Scala Frameworks
ActiveMQ,Apache Frameworks
Spinnaker,Cloud
Ionic,mobile
BubbleSort,mixed
UX,UX/UI
Elixir,Elixir
D3,JavaScript Tools
Highcharts,JavaScript Tools
ECS,Cloud
RDS,AWS
CloudFormation,Cloud
HAML,HTML
BEM,programming paradigm
Jest,testing
ETL framework,bigdata
Snowplow,Cloud
Looker,bigdata
Sisense,Data viz tools
Protractor,JavaScript Tools
Yarn,yarn
Orchestration,mixed
GCE,mixed
Riak,mixed
Elastic Search,Elastic Stack
Vue,JavaScript Tools
Flux-architecture,mixed
Promises/Q,JavaScript Tools
Underscore,mixed
QuickSight,Data viz tools
GA,Google Packages
GTM,Google Packages
SciPy,Python-based
Elm,Elm
Graylog,mixed
Kibana,Elastic Stack
Consu,mixed
Perl,Perl
OTRS,mixed
PHP7,PHP
Symfony3,PHP Frameworks
Meteor,JavaScript Tools
MVP,software architectural pattern
localytics,mixed
VWO,mixed
Optimizely,mixed
Gherkin,testing
Nightwatch,JavaScript Tools
Chai,BDD/TDD
XP,api(s)
Websocket,mixed
RestAPI,RESTful APIs
ERP-systems,ERP
SAP,ERP
Waterfall,mixed
UML modeling,mixed
Excel,Microsoft Tools
Talend,Data viz tools
RxJava,Java Frameworks
Couchbase,SQL
Server administration,sysadmin
PHP5/OOP,PHP
Magento,e-commerce platform
Java8,Java
Scheduling,mixed
Tx,mixed
Ribbon),mixed
Messaging JMS / AMQP,messaging protocol
Dynamo DB,AWS
Universal rendering,mixed
Marionette,JavaScript Tools
SCSS,CSS
Route 53,mixed
Elasticache,AWS
NLP,bigdata
IoT,mixed
Blockchain,Blockchain
Bots,bigdata
Silex,mixed
On-Premise,mixed
Spryker,mixed
Photoshop,design
VLAN,mixed
IT administration,mixed
HDFS,bigdata
Flink,Apache Frameworks
Jupyter,Python-based
Hue,bigdata
Metabase,mixed
Edge,mixed
Ubiquity,mixed
Synology NAS,mixed
iptables,mixed
cron,mixed
ssh,mixed
dns,mixed
ssl,mixed
Navision,mixed
Remote Desktop,mixed
MSSQL,SQL
Active Directory,mixed
Route53,mixed
Yii,mixed
FuelPHP,PHP
Zend 2,PHP Frameworks
svn,Apache Frameworks
memcache,Memcached
